GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.ecomarket.product,Product,4,99,0,0,2,30,1,26,1,26
backend,com.ecomarket.product,ProductController,0,65,0,0,0,19,0,6,0,6
backend,com.ecomarket.product,ProductService,12,259,8,10,0,41,9,11,1,10
backend,com.ecomarket.order,OrderStatus,0,39,0,0,0,7,0,1,0,1
backend,com.ecomarket.order,OrderService,310,12,6,0,69,5,18,1,15,1
backend,com.ecomarket.order,OrderController,15,55,3,1,1,12,3,6,1,6
backend,com.ecomarket.order,Order,129,8,2,0,37,2,24,1,23,1
backend,com.ecomarket.order,OrderItem,82,3,4,0,22,1,16,1,14,1
backend,com.ecomarket.order.dto,OrderItemResponse,27,39,0,0,7,14,7,7,7,7
backend,com.ecomarket.order.dto,OrderItemRequest,0,26,0,0,0,9,0,6,0,6
backend,com.ecomarket.order.dto,OrderRequest,15,31,0,0,6,9,1,9,1,9
backend,com.ecomarket.order.dto,OrderResponse,43,73,0,0,11,25,11,13,11,13
backend,com.ecomarket.product.dto,ProductRequest,0,74,0,0,0,21,0,19,0,19
backend,com.ecomarket.product.dto,ProductResponse,59,87,0,0,15,30,15,15,15,15
backend,com.ecomarket.product.dto,PagedProductResponse,31,45,0,0,8,16,8,8,8,8
backend,com.ecomarket.category,CategoryController,38,6,0,0,7,3,5,1,5,1
backend,com.ecomarket.category,CategoryService,122,6,4,0,19,3,10,1,8,1
backend,com.ecomarket.category,Category,21,29,0,0,7,9,6,7,6,7
backend,com.ecomarket.category.dto,CategoryResponse,56,0,0,0,18,0,12,0,12,0
backend,com.ecomarket.category.dto,CategoryRequest,17,0,0,0,5,0,5,0,5,0
backend,com.ecomarket.config,DataSeeder,0,557,3,3,0,138,3,7,0,7
backend,com.ecomarket.config,WebConfig,0,64,0,0,0,9,0,2,0,2
backend,com.ecomarket.auth,User,16,38,0,0,5,11,5,9,5,9
backend,com.ecomarket.auth,AuthController,172,18,10,0,23,7,9,1,4,1
backend,com.ecomarket.auth,Role,11,15,0,0,3,7,3,3,3,3
backend,com.ecomarket.auth,CustomUserDetailsService,302,6,40,0,73,3,24,1,4,1
backend,com.ecomarket.images,ImageController,103,6,18,0,19,3,11,1,2,1
backend,com.ecomarket.images,ImageStorageService,57,17,4,0,12,4,4,1,2,1
backend,com.ecomarket.security,JwtService,75,18,4,0,17,5,6,1,4,1
backend,com.ecomarket.security,SecurityConfig,0,118,0,0,0,24,0,7,0,7
backend,com.ecomarket.security,JwtAuthenticationFilter,48,28,8,2,10,12,5,2,0,2
backend,com.ecomarket,Main,5,3,0,0,2,1,1,1,1,1
backend,com.ecomarket.auth.dto,AuthRequest,17,0,0,0,5,0,5,0,5,0
backend,com.ecomarket.auth.dto,AuthResponse,46,0,0,0,15,0,10,0,10,0
backend,com.ecomarket.auth.dto,RegisterRequest,24,0,0,0,7,0,7,0,7,0
